location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,0.003,0.013,0.003,-0.012,-0.018,NA,FALSE
World,2020-01-06,0.003,0.014,0.003,-0.012,-0.019,0,FALSE
World,2020-01-13,0,0.011,0,-0.015,-0.021,0,FALSE
World,2020-01-20,-0.001,0.011,-0.001,-0.018,-0.027,0,FALSE
World,2020-01-27,-0.008,0.008,-0.008,-0.025,-0.036,0,FALSE
World,2020-02-03,0.012,0.028,0.012,-0.005,-0.017,0.001,FALSE
World,2020-02-10,-0.008,0.012,-0.008,-0.027,-0.041,0.001,FALSE
World,2020-02-17,-0.025,-0.002,-0.025,-0.043,-0.061,0.002,FALSE
World,2020-02-24,-0.045,-0.013,-0.033,-0.05,-0.066,0.001,FALSE
World,2020-03-02,-0.055,-0.022,-0.046,-0.075,-0.094,0.001,FALSE
World,2020-03-09,-0.013,0.019,-0.003,-0.032,-0.067,0.001,FALSE
World,2020-03-16,0.012,0.05,0.021,-0.005,-0.035,0.005,FALSE
World,2020-03-23,0.046,0.102,0.062,0.035,0.011,0.017,FALSE
World,2020-03-30,0.056,0.118,0.08,0.046,0.014,0.039,FALSE
World,2020-04-06,0.083,0.142,0.101,0.067,0.025,0.065,FALSE
World,2020-04-13,0.071,0.12,0.083,0.049,0.015,0.083,FALSE
World,2020-04-20,0.052,0.106,0.062,0.028,-0.003,0.086,FALSE
World,2020-04-27,0.037,0.085,0.042,0.008,-0.028,0.077,FALSE
World,2020-05-04,0.097,0.148,0.1,0.071,0.04,0.072,FALSE
World,2020-05-11,0.106,0.159,0.109,0.08,0.052,0.069,FALSE
World,2020-05-18,0.127,0.161,0.127,0.078,0.046,0.064,FALSE
World,2020-05-25,0.123,0.165,0.123,0.075,0.045,0.061,FALSE
World,2020-06-01,0.184,0.223,0.184,0.124,0.094,0.06,FALSE
World,2020-06-08,0.203,0.244,0.203,0.137,0.097,0.063,FALSE
World,2020-06-15,0.222,0.265,0.222,0.16,0.122,0.063,FALSE
World,2020-06-22,0.252,0.287,0.252,0.182,0.141,0.067,FALSE
