location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-01-01,-0,0,-0,-0,-0,NA,FALSE
Oceania,2020-01-01,-0.051,0.291,0.109,-0.051,-0.149,NA,FALSE
Africa,2020-01-01,0.125,0.584,0.149,0.023,-0.103,NA,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Asia,2020-01-01,-0.119,0.016,-0.111,-0.158,-0.187,NA,FALSE
Latin America and Caribbean,2020-01-01,-0.002,0.012,0.002,-0.003,-0.011,0,FALSE
Latin America and Caribbean,2020-01-06,-0.008,0.025,0.006,-0.008,-0.021,0,FALSE
Europe,2020-01-06,-0,0,-0,-0,-0,NA,FALSE
Oceania,2020-01-06,-0.103,0.568,0.197,-0.103,-0.298,NA,FALSE
Africa,2020-01-06,0.252,1.172,0.295,0.043,-0.202,NA,FALSE
North America,2020-01-06,0,0,0,0,0,NA,FALSE
Asia,2020-01-06,-0.239,0.032,-0.223,-0.316,-0.382,NA,FALSE
Latin America and Caribbean,2020-01-13,-0.009,0.038,0.01,-0.009,-0.031,0,FALSE
Europe,2020-01-13,-0,0,-0,-0,-0.001,NA,FALSE
Africa,2020-01-13,0.38,1.789,0.446,0.064,-0.304,NA,FALSE
Oceania,2020-01-13,-0.151,0.843,0.298,-0.151,-0.44,NA,FALSE
North America,2020-01-13,0,0,0,0,0,NA,FALSE
Asia,2020-01-13,-0.396,0.009,-0.371,-0.507,-0.6,NA,FALSE
Latin America and Caribbean,2020-01-20,-0.016,0.056,0.014,-0.016,-0.041,0,FALSE
Europe,2020-01-20,-0.001,0,-0,-0.001,-0.001,NA,FALSE
Africa,2020-01-20,0.506,2.428,0.689,0.076,-0.389,NA,FALSE
Oceania,2020-01-20,-0.203,1.103,0.451,-0.203,-0.504,NA,FALSE
North America,2020-01-20,0,0,0,0,0,NA,FALSE
Asia,2020-01-20,-0.542,-0.036,-0.514,-0.758,-0.926,NA,FALSE
Latin America and Caribbean,2020-01-27,-0.195,-0.092,-0.149,-0.195,-0.23,0,FALSE
Europe,2020-01-27,-0.836,-0.835,-0.836,-0.837,-0.837,NA,FALSE
Africa,2020-01-27,0.628,3.074,0.864,0.082,-0.487,NA,FALSE
Oceania,2020-01-27,-0.236,1.384,0.594,-0.236,-0.565,NA,FALSE
North America,2020-01-27,-0.368,-0.368,-0.368,-0.368,-0.368,0,FALSE
Asia,2020-01-27,-0.585,0.056,-0.52,-0.855,-1.162,0.002,FALSE
Latin America and Caribbean,2020-02-03,-0.227,-0.101,-0.165,-0.227,-0.265,0,FALSE
Africa,2020-02-03,0.807,3.784,1.111,0.116,-0.513,NA,FALSE
Europe,2020-02-03,-1.785,-1.784,-1.784,-1.785,-1.786,0,FALSE
Oceania,2020-02-03,-0.353,1.588,0.658,-0.353,-0.716,NA,FALSE
North America,2020-02-03,-0.614,-0.614,-0.614,-0.614,-0.614,0,FALSE
Asia,2020-02-03,-0.441,0.34,-0.33,-0.784,-1.236,0.009,FALSE
Latin America and Caribbean,2020-02-10,-0.317,-0.168,-0.249,-0.317,-0.379,0,FALSE
Africa,2020-02-10,0.965,4.628,1.3,0.171,-0.562,NA,FALSE
Europe,2020-02-10,-2.623,-2.621,-2.622,-2.624,-2.624,0,FALSE
Oceania,2020-02-10,-0.143,2.12,1.013,-0.143,-0.544,NA,FALSE
North America,2020-02-10,-0.968,-0.968,-0.968,-0.968,-0.968,0,FALSE
Asia,2020-02-10,-0.536,0.399,-0.405,-0.978,-1.602,0.021,FALSE
Africa,2020-02-17,1.122,5.534,1.564,0.18,-0.714,NA,FALSE
Latin America and Caribbean,2020-02-17,-0.447,-0.291,-0.378,-0.447,-0.518,0,FALSE
Europe,2020-02-17,-3.826,-3.824,-3.825,-3.827,-3.828,0,FALSE
Oceania,2020-02-17,-0.008,2.592,1.321,-0.008,-0.485,NA,FALSE
Asia,2020-02-17,-0.755,0.336,-0.593,-1.244,-2.084,0.04,FALSE
North America,2020-02-17,-1.146,-1.146,-1.146,-1.146,-1.146,0,FALSE
Africa,2020-02-24,0.744,5.538,1.458,-0.09,-1.134,NA,FALSE
Latin America and Caribbean,2020-02-24,-0.683,-0.488,-0.595,-0.683,-0.777,0,FALSE
Europe,2020-02-24,-4.964,-4.961,-4.963,-4.965,-4.966,0.001,FALSE
Asia,2020-02-24,-0.956,0.282,-0.745,-1.554,-2.491,0.055,FALSE
Oceania,2020-02-24,0.207,3.136,1.701,0.207,-0.335,NA,FALSE
North America,2020-02-24,-1.127,-1.127,-1.127,-1.127,-1.127,0,FALSE
Africa,2020-03-02,0.84,5.328,1.558,-0.268,-1.84,NA,FALSE
Latin America and Caribbean,2020-03-02,-0.71,-0.494,-0.619,-0.721,-0.812,0,FALSE
Europe,2020-03-02,-5.758,-5.755,-5.757,-5.759,-5.761,0.008,FALSE
Asia,2020-03-02,-1.519,-0.172,-1.276,-2.158,-3.277,0.064,FALSE
Oceania,2020-03-02,0.16,3.419,1.798,0.16,-0.437,0.002,FALSE
North America,2020-03-02,-1.064,-1.064,-1.064,-1.064,-1.064,0.002,FALSE
Africa,2020-03-09,0.496,5.118,1.431,-0.703,-2.329,0,FALSE
Latin America and Caribbean,2020-03-09,-0.717,-0.494,-0.641,-0.767,-0.886,0,FALSE
Europe,2020-03-09,-5.307,-5.304,-5.306,-5.308,-5.311,0.073,FALSE
Asia,2020-03-09,-1.697,-0.167,-1.469,-2.407,-3.71,0.073,FALSE
Oceania,2020-03-09,0.167,3.754,1.955,0.167,-0.516,0.007,FALSE
North America,2020-03-09,-0.995,-0.995,-0.995,-0.995,-0.995,0.006,FALSE
Africa,2020-03-16,0.132,5.218,1.508,-1.096,-3.146,0.001,FALSE
Latin America and Caribbean,2020-03-16,-0.87,-0.62,-0.789,-0.946,-1.107,0.002,FALSE
Europe,2020-03-16,-3.121,-3.117,-3.119,-3.122,-3.124,0.392,FALSE
Asia,2020-03-16,-1.767,-0.054,-1.576,-2.662,-3.939,0.089,FALSE
Oceania,2020-03-16,0.428,4.311,2.351,0.428,-0.34,0.007,FALSE
North America,2020-03-16,-0.625,-0.625,-0.625,-0.625,-0.625,0.027,FALSE
Africa,2020-03-23,-0.254,5.413,1.443,-1.514,-4.321,0.004,FALSE
Latin America and Caribbean,2020-03-23,-0.581,-0.352,-0.526,-0.701,-0.926,0.019,FALSE
Europe,2020-03-23,0.995,1,0.997,0.994,0.992,1.487,FALSE
Asia,2020-03-23,-1.903,-0.07,-1.637,-2.747,-4.253,0.115,FALSE
Oceania,2020-03-23,0.696,4.841,2.745,0.696,-0.031,0.016,FALSE
North America,2020-03-23,0.98,0.98,0.98,0.98,0.98,0.217,FALSE
Africa,2020-03-30,-0.69,5.442,1.305,-1.889,-5.747,0.012,FALSE
Latin America and Caribbean,2020-03-30,0.163,0.397,0.232,0.009,-0.269,0.076,FALSE
Europe,2020-03-30,6.693,6.698,6.694,6.691,6.689,4.034,FALSE
Asia,2020-03-30,-2.373,-0.387,-2.01,-3.281,-5.007,0.146,FALSE
Oceania,2020-03-30,1.082,5.529,3.279,1.082,0.415,0.04,FALSE
North America,2020-03-30,5.185,5.185,5.185,5.185,5.185,1.167,FALSE
Africa,2020-04-06,-1.152,5.324,0.914,-2.547,-7.304,0.034,FALSE
Latin America and Caribbean,2020-04-06,0.955,1.204,1.028,0.783,0.448,0.244,FALSE
Europe,2020-04-06,12.308,12.314,12.309,12.306,12.304,7.882,FALSE
Asia,2020-04-06,-2.722,0.096,-2.389,-3.708,-5.671,0.19,FALSE
Oceania,2020-04-06,1.303,6.082,3.572,1.303,0.592,0.098,FALSE
North America,2020-04-06,11.4,11.4,11.4,11.4,11.4,4.109,FALSE
Africa,2020-04-13,-1.62,5.322,0.718,-3.237,-8.882,0.058,FALSE
Latin America and Caribbean,2020-04-13,1.76,2.069,1.838,1.57,1.178,0.558,FALSE
Europe,2020-04-13,17.078,17.085,17.079,17.077,17.075,12.02,FALSE
Asia,2020-04-13,-3.065,0.295,-2.63,-4.301,-6.263,0.241,FALSE
Oceania,2020-04-13,1.341,6.614,3.754,1.341,0.621,0.162,FALSE
North America,2020-04-13,17.317,17.317,17.317,17.317,17.317,8.34,FALSE
Africa,2020-04-20,-2.045,5.315,0.706,-4.089,-10.37,0.081,FALSE
Latin America and Caribbean,2020-04-20,2.859,3.215,2.94,2.625,2.201,1.037,FALSE
Europe,2020-04-20,20.473,20.48,20.474,20.471,20.469,15.756,FALSE
