region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America & Caribbean,2020-01-01,660258572,0.003431599616759496,0.015459761987857654,0.013396261879838629,0.003431599616759496,-0.0024706020559123296,-0.008303659555827281,-0.011171555018716415,0,0,0
South Asia,2020-01-01,1918999115,0.17523538971474367,0.32846702101982544,0.22464097879026543,0.17523538971474367,-0.010619944446043833,-0.06484547672042223,-0.07596213118959225,0,0,0
Sub-Saharan Africa,2020-01-01,1211214422,0.3570578667661775,0.7547611288792837,0.6297297491453678,0.3570578667661775,0.02895233959157649,-0.02971055483822146,-0.07559567220480468,0,0,0
Europe & Central Asia,2020-01-01,923927595,-0.001769126504736462,0.0018589140214111725,0.0016179763493450227,5.207229783854183e-4,-0.001769126504736462,-0.0032781298116960214,-0.003950400926290021,0,0,0
Middle East & North Africa,2020-01-01,493379661,0.0022489005466036468,0.03988217870444175,0.037129083246660886,0.017562455511234285,-0.0054055470568113145,-0.018252255458821844,-0.02531146934564371,0,0,0
East Asia & Pacific,2020-01-01,2362944397,-0.2525031869457206,-0.1709857518459127,-0.20561739157094006,-0.2525031869457206,-0.3039962928673321,-0.319611038126575,-0.32191226183767874,-12.254435300341623,-0.2988886658619908,0
North America,2020-01-01,376814276,-1.0309643842252784e-5,6.464897705388433e-6,4.090558810197493e-6,-8.802532896338474e-7,-1.0309643842252784e-5,-1.2600291735589646e-5,-1.3192174332919918e-5,0,0,0
Other,2020-01-01,3675292,-0.13504598980591773,0.7289680408919175,0.5734580354599921,0.1742824068248342,-0.13504598980591773,-0.22523429666837103,-0.2722059366841441,0,0,0
Latin America & Caribbean,2020-01-06,660258572,0.005597129869519424,0.0327191469031015,0.027039372813698195,0.006758281563051649,-0.004597766639091741,-0.016617683468471305,-0.0201069574655355,0,0,0
South Asia,2020-01-06,1918999115,0.3503685212998121,0.6574871473228638,0.44658409868252924,0.3503685212998121,-0.030746378884186534,-0.12633305618603652,-0.14678238209704927,0,0,0
Sub-Saharan Africa,2020-01-06,1211214422,0.7141482149049361,1.5403298968195025,1.2578087050757396,0.7141482149049361,0.05398179400992402,-0.05815796407300821,-0.1495487180377222,0,0,0
Europe & Central Asia,2020-01-06,923927595,-0.0035128317130493796,0.003932489342712755,0.003036776572981233,0.0010623449781924322,-0.0035128317130493796,-0.006467608043151971,-0.007997024347926289,0,0,5.682263446195694e-4
Middle East & North Africa,2020-01-06,493379661,0.0044780001855032085,0.08088543185354344,0.07372499182790943,0.03577621400801951,-0.010723705325771491,-0.03587180018660365,-0.05122169614701099,0,0,0
