region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Other,2020-01-01,44430902,-1.7638675600443228,1.8746219385245453,1.4223701183289916,0.007183147212255568,-1.7638675600443228,-2.9388364856835336,-5.970594130251931,0,0,0
EMRO,2020-01-01,739378959,1.3619946451967009,97.64970869081449,82.09227673168444,49.309977129942304,1.3619946451967009,-46.094736266316914,-55.763400274783386,0,0,0
AFRO,2020-01-01,1148918838,418.8174435401477,691.697653372966,432.9856178945711,418.8174435401477,14.510164982526868,-203.2914273222321,-247.83904301444213,0,0,0
EURO,2020-01-01,935273721,-8.336970703526337,6.800466802945753,6.67177757729106,-1.0762880195234028,-13.076467078563027,-24.803181415858933,-26.12179739042129,0,0,0
AMRO,2020-01-01,1026162142,-1.4493009792599973,12.115601815658133,8.86571277069632,3.521880746088555,-1.9802461316165167,-5.660908969060748,-7.294886976896562,0,0,0
WPRO,2020-01-01,1939733436,-1020.6195859580008,-987.970516435456,-988.382667562565,-1002.0547134902255,-1020.6195859580008,-1028.9139023065086,-1030.880899638599,-27241.352935408144,-1008.938997607709,0
SEARO,2020-01-01,2040340794,778.7301909446766,863.1211423247428,778.7301909446766,778.7301909446766,-65.62364252607874,-341.86288914246876,-386.98819884729477,0,0,0
Other,2020-01-06,44430902,-1.7258284949550822,2.9359828558995233,1.878886428297447,0.613187352303867,-1.7258284949550822,-3.1512779644254936,-4.915034453112267,0,0,0
EMRO,2020-01-06,739378959,1.526675116127402,92.83990505597323,82.73164540622159,49.475564275494825,0.8967449965874634,-45.043958628291456,-55.88988563276484,0,0,0
AFRO,2020-01-06,1148918838,421.06089612953656,687.1739743511658,434.232137132006,421.06089612953656,22.393313644342715,-229.09773376038416,-278.82104226821815,0,0,0
EURO,2020-01-06,935273721,-7.364955070016099,10.129508576435834,6.407022755943776,0.002739530532794146,-11.145176292786752,-22.670388435177568,-24.58288410799275,0,0,0
AMRO,2020-01-06,1026162142,1.5031407162591854,15.6621145205617,14.896159586653745,7.03010864139599,-0.18417388863378936,-7.141573143536459,-8.854088554008444,0,0,0
WPRO,2020-01-06,1939733436,-1020.247081078275,-985.0550400853939,-986.23049846823,-1000.5486469639015,-1020.247081078275,-1027.992365312948,-1031.5084329395231,-27241.352935408144,-1008.938997607709,0
SEARO,2020-01-06,2040340794,783.9030145590899,859.2211672942893,783.9030145590899,783.9030145590899,-60.46483178649915,-366.37240369065023,-383.46816900751475,0,0,0
Other,2020-01-13,44430902,-1.7285369280985625,2.5838024292298285,1.7941827329022817,0.4687594239433714,-1.7285369280985625,-3.1650444691610127,-5.31934863470523,0,0,0
EMRO,2020-01-13,739378959,1.4816211900876373,99.8507510977951,90.41332451998856,52.45868493887343,0.536762303329711,-42.15235435529051,-52.55552762812153,0,0,0
AFRO,2020-01-13,1148918838,422.02228298927815,687.6492710392681,434.70643425873095,422.02228298927815,23.410724902412802,-234.0678100788564,-275.95374126362617,0,0,0
EURO,2020-01-13,935273721,-9.375992091574616,9.791702153940317,6.721958712299684,-0.5268509291301329,-11.662563156810409,-22.89914037158253,-24.45351631854593,0,0,0
AMRO,2020-01-13,1026162142,1.3732979531193064,13.774920459497071,13.114108803011694,5.577469821032187,-0.28375091177730277,-5.321381176084419,-7.679846523629043,0,0,0
WPRO,2020-01-13,1939733436,-1268.286258244697,-1232.7027643651704,-1233.4625923744743,-1247.9245259024592,-1268.286258244697,-1277.094861627107,-1278.8747339895913,-33936.140791318605,-1256.8941033821704,0
SEARO,2020-01-13,2040340794,792.6463988301408,792.6463988301408,792.6463988301408,792.6463988301408,-59.97165360263784,-361.34531635527816,-379.0450611683613,0,0,0
Other,2020-01-20,44430902,-1.946545566328757,1.6533683775739763,1.3747523136695554,0.1019284799908178,-1.946545566328757,-4.494402595266697,-4.87174364830053,0,0,0
EMRO,2020-01-20,739378959,15.457295605871975,208.21084616714649,183.51546946103988,86.67733243629324,-6.40424478033776,-114.97759310062435,-152.45633314956717,0,0,0
AFRO,2020-01-20,1148918838,434.49032953941986,631.4894273715139,532.0138293986241,434.49032953941986,-38.09405197129456,-276.14084102693636,-291.92296799138046,0,0,0
EURO,2020-01-20,935273721,-14.330128894296045,7.878200179170225,4.9815609623524075,-12.065319816452583,-43.3889543413478,-74.86198877242478,-89.58528323701705,0,0,0
AMRO,2020-01-20,1026162142,6.567419263165618,32.582868748433555,29.369560235614927,12.186265701143684,1.8311984801357994,-6.658763005229445,-8.532279407933311,0,0,0
WPRO,2020-01-20,1939733436,-1533.2445992757143,-1478.736807122008,-1488.0849516611515,-1520.4773166219204,-1552.1452143179908,-1577.57279620147,-1583.8653039198857,-41925.87315931756,-1552.8101170117616,0
SEARO,2020-01-20,2040340794,836.3773711175858,1389.1342013335225,1303.127640809591,836.3773711175858,-119.8576548220881,-709.0019433244279,-869.1486762501337,0,0,0
Other,2020-01-27,44430902,-28.703000493327167,-24.089779324096945,-24.416335367464658,-26.593592892565336,-28.703000493327167,-30.56221424879505,-32.99906920057665,-958.9897805322219,-26.63860501478394,0
EMRO,2020-01-27,739378959,-77.31726486671991,119.12724518861287,104.7955516008978,29.044333258802826,-92.20483253915015,-166.2287439390111,-186.0420966849933,-1913.7502048295842,-91.1309621347421,0
AFRO,2020-01-27,1148918838,432.5934175905781,721.9525201108717,548.4014229069195,432.5934175905781,-7.522795539556136,-254.2308436708613,-325.511453201759,598.389824980499,12.731698403840404,0
EURO,2020-01-27,935273721,-882.391963679184,-849.7444347858204,-852.1317591966357,-876.4950435317597,-910.5208491397527,-930.9225846819418,-940.2225106796676,-46040.019353764554,-868.6796104483878,0
AMRO,2020-01-27,1026162142,-271.0209685176928,-256.2750892675034,-256.7782396710693,-265.0238061020306,-276.0255101145086,-287.26678730693123,-289.322883124526,-9627.494285441207,-275.0712652983202,0
WPRO,2020-01-27,1939733436,-851.7890078770997,-800.2663476733976,-800.469421425212,-830.8975246489831,-869.5392824147146,-902.0977505590604,-911.7358975618733,-23534.168353401295,-871.6358649407887,13
SEARO,2020-01-27,2040340794,857.5855147630775,2080.024949714368,1675.615575414611,914.5588761187349,-157.0202814297522,-814.8223808514214,-1037.5997254951662,683.8522902186362,62.168390019876014,0
Other,2020-02-03,44430902,35.56249865410735,39.61830393730097,39.517762720540034,37.4429151164257,35.5257023790248,33.14750917934289,31.380451647586234,1356.2350724790256,37.67319645775071,0
EMRO,2020-02-03,739378959,84.24826430560806,269.2534765444504,265.2645732044095,170.47570791710623,46.05309878292222,-52.08542537246322,-108.19947366429791,996.0348062939,47.4302288711381,0
AFRO,2020-02-03,1148918838,541.412814377719,813.5586750829041,628.8820586454325,541.412814377719,50.151933355814386,-205.77240747221327,-295.7683813431587,3518.0857026760623,74.85288729098005,0
EURO,2020-02-03,935273721,-1024.5103430323506,-976.539275917609,-981.1821661383715,-1017.1796289614066,-1058.2082961877788,-1081.7591584521676,-1088.6769289601496,-53350.1050276598,-1006.6057552388643,0
AMRO,2020-02-03,1026162142,-68.53538251574848,-50.95867486826307,-53.185628965588634,-60.56608201366353,-73.28090087368737,-85.28618999949833,-90.69494015589369,-2374.7324204065226,-67.84949772590065,0
WPRO,2020-02-03,1939733436,640.0509678791459,686.8655936111511,684.1949015474315,645.9646219889528,604.5463637752567,574.0978740971974,561.8724242799999,16620.217896811948,615.5636258078499,49.5
SEARO,2020-02-03,2040340794,732.3406310946452,1544.435837098003,1446.6175326260284,732.3406310946452,-344.09104720826014,-1430.235366187844,-1659.939503569158,-333.93787345533264,-30.35798849593933,0
Other,2020-02-10,44430902,35.54062464976839,39.86858198080573,39.55359429161553,37.67290237622229,35.34190002160527,32.61010514390394,31.487582368064402,1356.2350724790256,37.67319645775071,0.143
EMRO,2020-02-10,739378959,92.92650436157786,343.89117179887205,328.31058702668537,142.1188944535516,-15.60705927763447,-144.72499912432858,-200.0105412451369,-470.4151937061046,-22.400723509814505,0
AFRO,2020-02-10,1148918838,246.08203558007503,550.8673062771633,439.3509037855053,246.08203558007503,-169.69898785476053,-461.97218489403724,-715.0034391574834,840.2047502951052,17.876696814789472,0
