region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America & Caribbean,2020-01-01,655680793,-10.85013497201594,94.97743846533567,54.65438777929482,21.460129363747736,-14.640217533416347,-43.89775227293933,-55.97193705833712,0,0,0
South Asia,2020-01-01,1877243630,5230.199634979035,5587.3632795537505,5230.199634979035,5230.199634979035,-277.4163336737651,-1824.7153434985705,-2215.4351972210316,0,0,0
Sub-Saharan Africa,2020-01-01,1165571063,3093.015252938606,3953.8268719026864,3656.425628071069,3093.015252938606,0,-969.3683096884176,-1244.793889739844,0,0,0
Europe & Central Asia,2020-01-01,925895167,-52.89204178314734,51.18358230528551,36.96032022840223,0,-68.05925945552774,-151.51995255038042,-181.03895557350506,0,0,0
Middle East & North Africa,2020-01-01,472721233,-74.92044796327967,133.94463539359546,129.9331922550088,63.355431330369726,-74.92044796327967,-131.29621973510604,-140.74899262705435,0,0,0
East Asia & Pacific,2020-01-01,2400504322,-6077.917133178718,-5703.959263496177,-5835.080103861564,-6077.917133178718,-275440.3463469045,-275440.3463469045,-275440.3463469045,-275440.3463469045,-7062.572983253963,0
North America,2020-01-01,371050850,-0.02966719221707482,0.023708515747909983,0.016498151362769886,0,-0.02966719221707482,-0.04526733826635993,-0.09247869570814012,0,0,0
Other,2020-01-01,17189,-0.037779193824399863,0.15159439696204974,0.11498761820461936,0.027186583689020136,-0.04018176466051983,-0.08901126885385036,-0.09882681276040992,0,0,0
Latin America & Caribbean,2020-01-06,655680793,-0.4630818628041755,207.82567646585736,181.58827815736092,68.90740795713592,-22.865445321204035,-78.04699722262274,-94.62945274185459,0,0,0
South Asia,2020-01-06,1877243630,10480.507680316583,11183.385615784966,10480.507680316583,10480.507680316583,-560.4211351024446,-3647.2156186205657,-4431.775669985738,0,0,0
Sub-Saharan Africa,2020-01-06,1165571063,6203.970395544069,7925.316754269608,7048.819083590617,6203.970395544069,0,-2147.731204226996,-2489.6369845871336,0,0,0
Europe & Central Asia,2020-01-06,925895167,-109.47595415463184,90.96824624135843,65.361566680698445,0,-135.5237823374416,-302.6349810339946,-360.19695738193957,0,0,0
Middle East & North Africa,2020-01-06,472721233,-151.37958159102203,265.57977287961796,251.44781761299097,130.563373299089,-151.37958159102203,-262.6394912941846,-281.4979852541087,0,0,0
East Asia & Pacific,2020-01-06,2400504322,-12139.051973390608,-10136.474132943771,-11575.488646754118,-12139.051973390608,-550880.692693809,-550880.692693809,-550880.692693809,-550880.692693809,-14125.145966507926,0
North America,2020-01-06,371050850,-0.05933438443414964,0.04678613902374995,0.03299630272553977,0,-0.05933438443414964,-0.08981280234121988,-0.18519036172322023,0,0,0
Other,2020-01-06,17189,-0.07632990857446473,0.29269688208102945,0.23086890849273872,0.052618676998090266,-0.08097297201741996,-0.1777394188919307,-0.20028095349303984,0,0,0
