region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Other,2020-01-01,44753371,-14.416267089633896,19.43157496053627,17.016878720159728,-0.035269705558726,-14.416267089633896,-81.6264269094503,-101.84156514159139,0,0,0
EMRO,2020-01-01,761408469,348.4368501572663,851.9207850453737,788.2662800159338,381.82568576162083,74.07463468895362,-276.567495047042,-329.4118224303641,0,0,0
AFRO,2020-01-01,1162657993,2207.5142343871894,4809.316465653368,4441.477169627401,2207.5142343871894,188.36772904024417,-1506.5533411958336,-1765.4368144366358,0,0,0
EURO,2020-01-01,932917123,-109.47871519269557,91.7712176500052,89.2379536943527,4.233481849447654,-109.47871519269557,-172.936028852703,-179.68441826303464,0,0,0
AMRO,2020-01-01,1026253581,17.226230604723163,63.78703349792842,61.367178857744896,27.64680608694055,-11.651618675541258,-42.055077272777886,-64.7457398308195,0,0,0
WPRO,2020-01-01,1924140566,-7006.05253582775,-6860.7605505539095,-6866.124592616025,-6997.8577250385415,-7115.083608122424,-7214.839708146314,-7243.434267829201,-190689.470547857,-7062.572983253963,0
SEARO,2020-01-01,2030500787,5436.591080379399,5436.591080379399,5436.591080379399,5436.591080379399,-237.5325030073003,-1470.7735015503085,-2537.884726521799,0,0,0
Other,2020-01-06,44753371,-28.487623332785947,42.181354799976944,38.66981910578319,7.241103477402385,-28.487623332785947,-167.18832510340673,-204.00535598725554,0,0,0
EMRO,2020-01-06,761408469,701.5506649237992,1699.0440177655469,1580.9183691942287,772.3167389982405,141.94769229965613,-566.6119160572489,-622.3495727249896,0,0,0
AFRO,2020-01-06,1162657993,4468.4549528228845,9512.551749267324,8892.559990220885,4468.4549528228845,435.9656122228767,-2972.1199220569542,-3911.623917208048,0,0,0
EURO,2020-01-06,932917123,-218.99789029470247,185.23310668460854,179.64254876668343,10.319372573413341,-218.99789029470247,-336.6344553113231,-348.33838727973114,0,0,0
AMRO,2020-01-06,1026253581,37.39541968290101,154.13985881175373,148.54143559554782,69.03399276020937,-16.72062104068366,-89.18063836118236,-111.67003298408363,0,0,0
WPRO,2020-01-06,1924140566,-13988.92447372212,-13724.901208642103,-13762.481352007762,-13988.92447372212,-14231.249340140981,-14416.576688478395,-14481.910820557756,-381378.941095714,-14125.145966507926,0
SEARO,2020-01-06,2030500787,10860.756606029085,10860.756606029085,10860.756606029085,10860.756606029085,-517.4756867757151,-2574.2743660818032,-5088.671731789151,0,0,0
Other,2020-01-13,44753371,-42.90585982791595,64.45565019967127,57.694521140295606,12.097374698032066,-42.90585982791595,-245.00815346435868,-302.9098547157844,0,0,0
EMRO,2020-01-13,761408469,1042.1839085650993,2539.570530925711,2365.3178458282373,1149.9909127135743,188.8393767731088,-831.9558803671343,-983.1668220726499,0,0,0
AFRO,2020-01-13,1162657993,6678.231703859458,14310.51918614508,13421.182444733637,6678.231703859458,692.4263252342218,-4462.192877361218,-5933.15045130713,0,0,0
EURO,2020-01-13,932917123,-330.7245062229459,270.853287897384,188.66786335925752,15.157097773435058,-330.7245062229459,-478.3703687272018,-521.4308989444337,0,0,0
AMRO,2020-01-13,1026253581,61.782724833912816,241.01329790875218,238.64220581341908,110.83938225858262,-15.456980841327667,-129.76657267977302,-176.98096728309758,0,0,0
WPRO,2020-01-13,1924140566,-22707.646511123283,-22324.865759215387,-22357.232903923745,-22707.646511123283,-23070.717978986475,-23359.276911019195,-23458.318468904174,-618931.9266349443,-22923.404690183117,0
SEARO,2020-01-13,2030500787,16325.826366304362,16325.826366304362,16325.826366304362,16325.826366304362,-498.7340014893746,-3868.2603959584617,-7601.947852732441,0,0,0
Other,2020-01-20,44753371,-59.16194847567569,77.92816908551139,71.89449895450753,13.534761787631563,-59.16194847567569,-343.4250651566575,-410.3534424971719,0,0,0
EMRO,2020-01-20,761408469,1505.7017206469382,3499.335508869017,3185.8176135321414,1890.4470387058172,395.4089281822769,-946.6662862499206,-1280.510091854433,0,0,0
AFRO,2020-01-20,1162657993,9007.48714801097,19661.49025909487,17543.559391594117,9007.48714801097,695.2549943741817,-5927.190355785731,-7738.523053525323,0,0,0
EURO,2020-01-20,932917123,-532.7906563062919,183.47675284234,131.75342602293944,-136.52540266936836,-578.3828560188858,-945.272716534843,-965.6176119478084,0,0,0
AMRO,2020-01-20,1026253581,94.99000367781812,399.9586246436679,354.4341019304609,192.62522364400962,-7.2419174133849396,-238.60619895825698,-303.5334989036344,0,0,0
WPRO,2020-01-20,1924140566,-33450.766953585364,-32609.704177515734,-32804.39072903588,-33326.36011146866,-33910.0767237134,-34332.000093003655,-34436.16589326072,-912413.0387501672,-33793.07550926545,0
SEARO,2020-01-20,2030500787,22543.192545589904,22543.192545589904,22543.192545589904,22543.192545589904,-1289.1886195861148,-6781.32724151722,-12016.461177563366,0,0,0
Other,2020-01-27,44753371,-261.54027220097663,-86.84712732232808,-89.05935849465334,-166.18184873335903,-261.54027220097663,-627.9527568314444,-707.6968978573378,-6714.9399579784185,-186.52610994384497,0
EMRO,2020-01-27,761408469,1315.2778786577994,4362.331483036248,3747.1297090490284,2167.2732705497197,-36.3132118775831,-2224.2778884490094,-2376.0207883912067,-13396.251433807089,-637.9167349431948,0
AFRO,2020-01-27,1162657993,11416.166821758065,25935.210163284355,22492.686480350236,11416.166821758065,1462.0341071097073,-6741.411791478804,-9150.73994373201,4264.603949200844,90.73625423831584,0
EURO,2020-01-27,932917123,-6792.3867539206185,-5825.56664522958,-5868.214388866823,-6206.784848337314,-6859.648852370375,-7422.623442643984,-7586.437398671062,-322279.577189835,-6080.74673943085,0
