region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Other,2020-01-01,44753371,-14.416267089633896,20.23134272310727,19.30493197057045,-0.018559071714320082,-14.416267089633896,-81.6264269094503,-101.84156514159139,0,0,0
EMRO,2020-01-01,761408469,348.4368501572663,851.9207850453737,788.2662800159338,381.82568576162083,74.07463468895362,-276.567495047042,-329.4118224303641,0,0,0
AFRO,2020-01-01,1162657993,2207.5142343871894,4809.316465653368,4441.477169627401,2207.5142343871894,188.36772904024417,-1506.5533411958336,-1765.4368144366358,0,0,0
EURO,2020-01-01,932917123,-109.47871519269557,91.7712176500052,89.2379536943527,4.233481849447654,-109.47871519269557,-172.936028852703,-179.68441826303464,0,0,0
AMRO,2020-01-01,1026253581,17.226230604723163,63.78703349792842,61.367178857744896,27.64680608694055,-11.651618675541258,-42.055077272777886,-64.7457398308195,0,0,0
WPRO,2020-01-01,1924140566,-7006.05253582775,-6860.7605505539095,-6866.124592616025,-6997.764183509982,-7115.083608122424,-7214.839708146314,-7243.434267829201,-190689.470547857,-7062.572983253963,0
SEARO,2020-01-01,2030500787,5436.591080379399,5436.591080379399,5436.591080379399,5436.591080379399,-237.5325030073003,-1470.7735015503085,-2537.884726521799,0,0,0
Other,2020-01-06,44753371,-28.487623332785947,42.181354799976944,40.65039855701322,7.247872549802791,-28.487623332785947,-167.18832510340673,-204.00535598725554,0,0,0
EMRO,2020-01-06,761408469,701.5506649237992,1699.0440177655469,1580.9183691942287,772.3167389982405,141.94769229965613,-566.6119160572489,-622.3495727249896,0,0,0
AFRO,2020-01-06,1162657993,4468.4549528228845,9512.551749267324,8892.559990220885,4468.4549528228845,435.9656122228767,-2972.1199220569542,-3911.623917208048,0,0,0
EURO,2020-01-06,932917123,-218.99789029470247,185.23310668460854,179.64254876668343,10.319372573413341,-218.99789029470247,-336.6344553113231,-348.33838727973114,0,0,0
AMRO,2020-01-06,1026253581,37.39541968290101,154.13985881175373,148.54143559554782,69.03399276020937,-16.72062104068366,-89.18063836118236,-111.67003298408363,0,0,0
WPRO,2020-01-06,1924140566,-13988.92447372212,-13724.901208642103,-13762.481352007762,-13986.605995039816,-14231.249340140981,-14416.576688478395,-14481.910820557756,-381378.941095714,-14125.145966507926,0
SEARO,2020-01-06,2030500787,10860.756606029085,10860.756606029085,10860.756606029085,10860.756606029085,-517.4756867757151,-2574.2743660818032,-5088.671731789151,0,0,0
Other,2020-01-13,44753371,-42.90585982791595,64.45565019967127,60.8065079831916,12.4110182891486,-42.90585982791595,-245.00815346435868,-302.9098547157844,0,0,0
EMRO,2020-01-13,761408469,1042.1839085650993,2539.570530925711,2365.3178458282373,1149.9909127135743,188.8393767731088,-831.9558803671343,-983.1668220726499,0,0,0
AFRO,2020-01-13,1162657993,6678.231703859458,14310.51918614508,13421.182444733637,6678.231703859458,692.4263252342218,-4462.192877361218,-5933.15045130713,0,0,0
EURO,2020-01-13,932917123,-330.7245062229459,270.853287897384,188.66786335925752,15.157097773435058,-330.7245062229459,-478.3703687272018,-521.4308989444337,0,0,0
AMRO,2020-01-13,1026253581,61.782724833912816,241.01329790875218,238.64220581341908,110.83938225858262,-15.456980841327667,-129.76657267977302,-176.98096728309758,0,0,0
WPRO,2020-01-13,1924140566,-22707.646511123283,-22324.865759215387,-22357.232903923745,-22707.646511123283,-23070.717978986475,-23359.276911019195,-23458.318468904174,-618931.9266349443,-22923.404690183117,0
SEARO,2020-01-13,2030500787,16325.826366304362,16325.826366304362,16325.826366304362,16325.826366304362,-498.7340014893746,-3868.2603959584617,-7601.947852732441,0,0,0
Other,2020-01-20,44753371,-59.16194847567569,85.72660491521299,76.61712023871198,14.320364580526848,-59.16194847567569,-343.4250651566575,-410.3534424971719,0,0,0
EMRO,2020-01-20,761408469,1505.7017206469382,3499.335508869017,3186.107112815431,1891.0349663430381,395.4089281822769,-946.6662862499206,-1281.4865437753656,0,0,0
AFRO,2020-01-20,1162657993,9007.48714801097,19661.49025909487,17543.559391594117,9007.48714801097,695.2549943741817,-5936.273125250951,-7738.544863607576,0,0,0
EURO,2020-01-20,932917123,-532.7906563062919,183.30833457694,131.75342602293944,-136.13662767686023,-578.3828560188858,-945.2530170700443,-973.9604490389092,0,0,0
AMRO,2020-01-20,1026253581,94.99000367781812,399.9586246436679,354.23591434759277,192.62522364400962,-7.25554573505806,-238.60619895825698,-303.5334989036344,0,0,0
WPRO,2020-01-20,1924140566,-33450.766953585364,-32609.704177515734,-32804.38538572393,-33296.36111489296,-33910.0767237134,-34332.000093003655,-34437.50805985156,-912413.0387501672,-33793.07550926545,0
SEARO,2020-01-20,2030500787,22543.192545589904,22543.192545589904,22543.192545589904,22543.192545589904,-1050.0183598940946,-6786.601303260522,-12016.461177563366,0,0,0
Other,2020-01-27,44753371,-261.54027220097663,-73.3755374536342,-87.52370944447087,-166.02643905769665,-261.54027220097663,-628.0284385269302,-707.6968978573378,-6714.9399579784185,-186.52610994384497,0
EMRO,2020-01-27,761408469,1315.2778786577994,4360.010973094334,3792.6965129164564,2193.9076725377463,-36.3132118775831,-2229.8956693731607,-2378.862702615542,-13396.251433807089,-637.9167349431948,0
AFRO,2020-01-27,1162657993,11416.166821758065,25931.602971174703,22492.686480350236,11416.166821758065,1442.3701210484905,-6750.494560944024,-9150.761753814262,4264.603949200844,90.73625423831584,0
EURO,2020-01-27,932917123,-6790.572615343841,-5832.329816521678,-5876.40869383147,-6207.139544212534,-6843.196836894664,-7420.204393940821,-7584.623260094284,-322183.42784526583,-6078.932600854073,0
AMRO,2020-01-27,1026253581,-2012.3563165815553,-1546.0702954972503,-1606.7019647024563,-1861.5510114648018,-2118.9801306162612,-2397.3283065555966,-2499.4080450220767,-74543.56713006701,-2129.8162037162,0
WPRO,2020-01-27,1924140566,-39420.14149242219,-38288.063177305856,-38375.20346124526,-39095.31001183097,-39940.57895310719,-40516.16072760694,-40567.76436705526,-1077152.2172239763,-39894.52656385097,91
SEARO,2020-01-27,2030500787,29100.2828830837,29100.2828830837,29100.2828830837,29100.2828830837,184.60392966395472,-10440.236902146473,-17037.397161120825,4351.787301391321,435.1787301391321,0
Other,2020-02-03,44753371,-12.710789758117295,210.64023800342585,192.45029430947028,96.90211757786852,-12.710789758117295,-459.7044838904729,-554.0612741766438,2812.9009516736205,78.13613754648941,0
EMRO,2020-02-03,761408469,2193.0987115270464,5615.418505408151,5481.6885326146785,3380.5809370381608,687.5022108426992,-2575.450526703849,-2726.6925720774934,-6424.007789749789,-305.9051328452281,0
AFRO,2020-02-03,1162657993,14645.37913810533,31788.143817814547,27811.024659842024,14645.37913810533,2667.0794328354405,-7194.7776847971245,-10354.110873658858,28888.74570893738,614.6541640199442,0
EURO,2020-02-03,932917123,-14020.046544101626,-12844.082032060298,-12874.681585672384,-13239.298548830742,-14142.340029825084,-14980.141209615826,-15097.452334796379,-695537.4554077984,-13123.34821524148,0
AMRO,2020-02-03,1026253581,-2667.465584811817,-2138.968360387789,-2165.0994788710673,-2460.2826054991287,-2792.4702656852974,-3087.454757891902,-3208.9397482001755,-97636.88217448696,-2789.625204985342,0
WPRO,2020-02-03,1924140566,-35015.57241328959,-33424.810292562775,-33788.4336973343,-34580.61650978507,-35653.78453653171,-36414.90835142973,-36473.66452655401,-960810.6919462926,-35585.581183196024,437.5
SEARO,2020-02-03,2030500787,34702.47585129876,34702.47585129876,34702.47585129876,34702.47585129876,-1558.1932241172995,-14292.699414622828,-24942.682142140664,2226.728106675568,222.67281066755677,0
Other,2020-02-10,44753371,237.71991498297618,499.5885357803403,480.9591524821916,366.39261041396753,237.71991498297618,-296.97691985363184,-401.2168708992313,12340.74186132566,342.7983850368238,1.001
EMRO,2020-02-10,761408469,2767.496427037666,7221.727949679632,6834.010537300136,4522.024988651516,709.7347386050942,-3489.125796942119,-3798.5293154505375,-9716.91414569252,-462.7101974139296,0
AFRO,2020-02-10,1162657993,17587.838840989643,36540.408674693455,31392.51173983733,17587.838840989643,2863.725317062198,-8819.210307341611,-11616.996319159243,34767.72080200717,739.7387404682376,0
EURO,2020-02-10,932917123,-20407.024005186773,-18835.286953775423,-19010.812846530585,-19445.52766582953,-20569.10628023245,-21532.392618461123,-21722.432859560144,-1021809.816303666,-19279.430496295587,0
AMRO,2020-02-10,1026253581,-4215.452253812711,-3453.088551526643,-3537.346338013829,-3910.143071864271,-4308.852931513258,-4731.179358249766,-4835.850606471815,-151277.90555224015,-4322.225872921147,0
WPRO,2020-02-10,1924140566,-40981.5311631438,-39074.23760789278,-39282.80451955671,-40469.456351717396,-41862.13499579237,-42803.315315051594,-42907.66898895499,-1125239.732851004,-41675.545661148295,1023.498
