custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America and Caribbean,2020-01-01,658737988,-16.49459051602928,76.46345815579743,53.47460679573796,22.367917667055213,-16.49459051602928,-35.633555605498884,-65.1359849525322,0,0,0
Asia,2020-01-01,4678110154,-898.8000030753863,-759.2257901191224,-898.8000030753863,-898.8000030753863,-7734.176914916992,-9300.325459270161,-10027.155484428853,-353128.6491626982,-7062.572983253963,0
Oceania,2020-01-01,43430556,-30.32126079087207,75.96899069686201,65.37969364598608,13.386208493579954,-34.57704114013899,-70.97502729764788,-81.31361902516304,0,0,0
European Union,2020-01-01,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,658737988,-11.704294889368558,171.98490767633814,131.756481769082,68.28220384664523,-16.639891199358406,-85.30856310911432,-91.54699610265928,0,0,0
Asia,2020-01-06,4678110154,-1761.9530798593223,-1520.456010429496,-1761.9530798593223,-1761.9530798593223,-15287.297259047009,-18577.27556871218,-20013.205663857094,-706257.2983253964,-14125.145966507926,0
Oceania,2020-01-06,43430556,-60.64320153879418,153.59205410311552,131.41163633140457,24.33646406172649,-67.30719671629143,-147.44747458998984,-155.2432070239785,0,0,0
European Union,2020-01-06,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,658737988,-8.538858753831779,250.24910527197457,207.36690609982963,90.81230156900868,-16.07030341918716,-123.49349207583583,-164.90231972747506,0,0,0
Asia,2020-01-13,4678110154,-4294.841393805047,-4294.841393805047,-4294.841393805047,-4294.841393805047,-24705.172308125217,-29545.577761222645,-31626.169104735825,-1146170.234509156,-22923.404690183117,0
Oceania,2020-01-13,43430556,-91.00907185497776,229.600982591113,196.29769803514876,35.794550415298644,-100.85586198002366,-222.35642995277146,-228.4932733556431,0,0,0
European Union,2020-01-13,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,658737988,23.13658339681096,440.92762763824123,408.16734738211613,191.589112950949,7.4482006279573545,-165.07721157501993,-232.9907619175499,0,0,0
Asia,2020-01-20,4678110154,-8360.834994765832,-8360.834994765832,-8360.834994765832,-8360.834994765832,-37790.258630863216,-44583.16144944282,-48545.75289468411,-1689653.7754632726,-33793.07550926545,0
Oceania,2020-01-20,43430556,-152.28420775920523,272.01048334100426,248.5437356160038,29.00558244706538,-158.49264332921905,-304.8154133310772,-314.4634293186756,0,0,0
European Union,2020-01-20,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,658737988,-502.51698700950095,2.6116616872436396,-27.95612806514886,-317.76011017280763,-548.8419539366568,-758.2662809410335,-842.3434879329327,-26219.493380077507,-546.2394454182814,0
Asia,2020-01-27,4678110154,-7850.6682206165115,-5152.386706584401,-6740.02031024474,-7850.6682206165115,-45288.0566037417,-58173.472296181266,-60056.93732779272,-1994132.8994857185,-39882.65798971437,91
Oceania,2020-01-27,43430556,-295.64144765798005,264.4143851718714,219.20628938141982,-55.47449446829385,-297.8139485928142,-474.12215706143087,-484.16703008924947,-1781.3917127743784,-77.45181359888602,0
European Union,2020-01-27,447045744,-3554.8491992441136,-3554.8491992441136,-3554.8491992441136,-3554.8491992441136,-3554.8491992441136,-3554.8491992441136,-3554.8491992441136,-95980.92837959107,-3554.8491992441136,0
North America,2020-01-27,370982987,-1386.792293541452,-1386.792293541452,-1386.792293541452,-1386.792293541452,-1386.792293541452,-1386.792293541452,-1386.792293541452,-2773.584587082904,-1386.792293541452,0
Latin America and Caribbean,2020-02-03,658737988,-90.12898965105025,524.9100653669402,479.36170189455936,129.5198097357175,-167.84465979276743,-409.0966569710987,-568.4774610031549,-5826.946715666654,-121.39472324305535,0
Asia,2020-02-03,4678110154,3282.635383635256,14024.996218216684,5523.975912286372,3282.635383635256,-43297.969555748416,-64709.812211561606,-64927.09102957002,-1760663.6218425457,-35213.27243685091,437.5
Oceania,2020-02-03,43430556,-425.6567089537302,263.8461436975964,213.7270891240695,-127.44278612779387,-426.21194026628325,-630.2267890252231,-647.8316609054668,-3464.594660253992,-150.63455044582574,0
European Union,2020-02-03,447045744,-8979.973417027293,-8979.973417027293,-8979.973417027293,-8979.973417027293,-8979.973417027293,-8979.973417027293,-8979.973417027293,-242459.28225973697,-8979.973417027293,0
North America,2020-02-03,370982987,-2312.584587082896,-2312.584587082896,-2312.584587082896,-2312.584587082896,-2312.584587082896,-2312.584587082896,-2312.584587082896,-4625.169174165792,-2312.584587082896,0
Latin America and Caribbean,2020-02-10,658737988,-107.92060752134734,743.1692196641698,702.7829585459909,144.5687300278721,-257.05361286541034,-663.2398052493597,-693.7031947742566,-7921.600051256193,-165.03333440117075,0
Asia,2020-02-10,4678110154,5977.552386650644,18116.170539740808,11233.047784436221,5977.552386650644,-52210.576591200144,-78832.31371437697,-80902.21820035527,-2073889.003796401,-41477.780075928014,1024.499
Oceania,2020-02-10,43430556,-448.39596225872936,379.0595651318934,313.49779800550806,-67.77029259072258,-448.39596225872936,-636.089410839776,-689.7759524280483,-2698.297607733617,-117.31728729276597,0
European Union,2020-02-10,447045744,-13760.430968143839,-13760.430968143839,-13760.430968143839,-13760.430968143839,-13760.430968143839,-13760.430968143839,-13760.430968143839,-371531.63613988366,-13760.430968143839,0
North America,2020-02-10,370982987,-3646.543547290994,-3646.543547290994,-3646.543547290994,-3646.543547290994,-3646.543547290994,-3646.543547290994,-3646.543547290994,-7293.087094581988,-3646.543547290994,0
Latin America and Caribbean,2020-02-17,658737988,-361.34500842740647,683.4476768574352,510.8001333355527,-106.25953567066048,-559.4586210874531,-1237.4432776388094,-1249.4662931870048,-21750.65338684574,-453.13861222595295,0
Asia,2020-02-17,4678110154,3142.4372886512,15535.96529939066,9104.394151992432,3142.4372886512,-69356.2487619592,-100114.25363959577,-109371.09736583609,-2656549.8234800277,-53130.996469600555,1881.397
Oceania,2020-02-17,43430556,-497.0202723928805,438.01984654729387,384.7177484710487,-58.95957859887928,-497.0202723928805,-687.7271386589339,-770.2612354644232,-2663.0172218799016,-115.78335747303919,0
European Union,2020-02-17,447045744,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-570938.9900200304,-21145.888519260385,2.333333333333333
North America,2020-02-17,370982987,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-8637.671681664882,-4318.835840832441,0
