world,date,population,estimate,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B84,B85,B86,B87,B88,B89,B90,B91,B92,B93,B94,B95,B96,B97,B98,B99,B100
World,2020-01-01,7882631890,879.8208774184982,-11170.825602280118,-10565.971712673343,-10106.780219681297,-9352.960779671192,-9217.442044611122,-9052.873967786873,-8938.213033572585,-8776.670840339768,-8682.432964392843,-8464.510234777674,-8434.24005175958,-8428.377507384428,-8336.51515582729,-8258.978224898534,-8200.372806482259,-8200.27263601014,-7727.1662287369045,-7633.607368906472,-7517.643950024893,-7424.593147366342,-7220.725373907735,-7188.103801921583,-6801.154982648541,-6784.211989928988,-6657.776143625105,-6600.0449418743365,-6592.496888223437,-6583.799619848581,-6370.4394752143435,-6340.549978704616,-6124.460716856038,-6115.952783340216,-6112.752685210865,-6106.533671315853,-6104.156741944271,-6078.1061494417445,-6062.230394477369,-6061.596785365269,-5943.835183113051,-5835.18834176107,-5754.747130329433,-5736.717545745242,-5608.1919145165775,-5573.162475218415,-5555.225921988959,-5543.176667265964,-5326.216691029237,-5177.837357383887,-5153.284505287526,-5132.448710826897,-5103.076295310638,-5079.288218179602,-5034.369884035977,-4988.307100510883,-4954.19140351195,-4773.102560295121,-4768.744073330715,-4667.399993890517,-4590.412350341826,-4581.867162488648,-4551.752043604742,-4454.928048623662,-4435.076022089862,-4374.406325809113,-4210.967186876345,-4148.851780764589,-4135.303940210322,-4071.0363944521755,-4037.439660041833,-3977.1815833648234,-3847.9383513729226,-3828.9329816579248,-3778.5957030966065,-3759.047584101723,-3637.0253045134864,-3566.610257021959,-3496.309271486437,-3327.799651991243,-3326.785434509199,-3258.5054852300136,-3235.901944580297,-3077.8429336875292,-2954.802118649065,-2861.1862393636834,-2835.118734134341,-2557.0419367633,-2020.2947976292435,-1993.2478449420514,-1710.174938957763,-932.7867757965569,-325.1069104360796,-208.95551778271766,-117.97767757610794,285.01015242586396,415.92435306331555,711.7838068626926,879.8208774184982,4178.160756433048,4316.481392965291,5036.218794284339
World,2020-01-06,7882631890,1831.747656109063,-22225.223768676464,-21190.378141851397,-19973.93048713998,-18347.364830817587,-18345.03336199014,-18010.430566352275,-17966.871053902752,-17327.927543535196,-16929.677591190342,-16597.19224990201,-16582.10792351797,-16554.827199615473,-16468.562908965483,-16359.970592423553,-16313.002983649276,-16029.765538476684,-15246.156343470964,-15064.050159621302,-15038.305255607855,-15019.47120763367,-14342.872346010829,-14326.200438066331,-13759.859741430944,-13322.401272167677,-13218.574224176813,-13092.436464136761,-12944.362882836936,-12893.46695098851,-12820.122307505502,-12505.173135904392,-12360.875202629777,-12228.043798578768,-12227.807317246212,-12225.741614222949,-12222.06201870711,-12197.288225103639,-12172.358618110646,-12035.644447657203,-11924.230510293666,-11577.461137278373,-11549.17105560991,-11357.036931400324,-11342.620277123235,-11199.180835221488,-11054.635816115879,-10710.228972171639,-10540.123063619616,-10440.279270806714,-10304.700707227745,-10257.133378178529,-10248.960432578531,-10241.370611826944,-10032.241840604882,-9943.352532150082,-9818.888881779598,-9782.973570726303,-9472.726921145375,-9130.153853829004,-9097.008461729842,-9047.985097549503,-9014.527448863511,-9013.239234498302,-8942.408773144274,-8716.779003772299,-8652.008739906436,-8516.227315210657,-8358.898703513376,-8319.43523488373,-8217.083942723171,-8029.79759298524,-7945.083443730872,-7497.314445847348,-7471.046857155043,-7198.912689379924,-7135.458940609644,-7042.56863231645,-6830.3412852940855,-6756.785004078714,-6665.502971736942,-6616.169097163647,-6582.539805657227,-6225.81698775266,-5993.302418344887,-5755.556390235884,-5413.393024884808,-5022.910359178093,-3936.2927644765346,-3747.270844872366,-3364.2395457493367,-1753.8837605217072,-865.5899869015748,-548.5611872360104,-434.8526629995299,322.8208132292646,849.2786607083676,1079.6071697060952,1831.747656109063,8456.494007301133,8742.212788156901,10151.758279614589
World,2020-01-13,7882631890,1026.7478263886883,-35062.21260874293,-32691.801056693956,-31656.648338839354,-29236.36092911072,-29082.26964095094,-28619.290450342458,-28338.97892955494,-27541.92607725304,-27063.99751921468,-27021.411453898923,-26600.501844851286,-26496.74850279031,-26389.49683184854,-26339.9339904072,-25521.961883525655,-25238.038046330326,-24641.710847617993,-24245.514888740592,-24169.268550927638,-24040.042779137475,-23394.694930943253,-22636.860354035212,-22509.256541210787,-21661.800550854365,-21451.252932575295,-21197.911776577643,-20962.835507610376,-20640.75639378676,-20118.937555301654,-20060.052998720792,-20036.246703543566,-19951.289613149667,-19950.124436259608,-19794.100489478435,-19778.684261232876,-19740.81839499025,-19566.491273744832,-19565.58076440768,-19072.35160330856,-18992.687550806997,-18974.618428855112,-18685.52165749895,-18534.65991664446,-18369.370454052154,-17750.3266002787,-17404.256564185576,-17372.771331725176,-17366.902705243352,-17303.084899871246,-17107.39301250686,-17076.404770055182,-16987.075762535576,-16971.234190094994,-16717.732839911434,-16339.874676510437,-16281.012826087477,-15961.299174716318,-15520.969727186926,-15228.174961599338,-15225.634458733794,-14829.87306672672,-14816.688365272468,-14531.059833791085,-14502.896399925747,-14257.601094249087,-14137.268731192285,-13733.639556071937,-13602.964216049353,-13234.721752667469,-13227.310169474586,-13170.590641932667,-13066.719529470447,-12846.40612359874,-12534.685257073332,-12383.742527849063,-12198.600505230184,-12044.03255964278,-11707.979213549557,-11654.274460461642,-11412.438983700515,-11350.580951422602,-10881.684736968178,-10537.876003801863,-9734.907062974022,-9483.330263824218,-8921.429052504769,-7700.110501136444,-6426.751592900195,-5982.370171728886,-4675.380785827808,-2892.772347169162,-2627.36002425294,-2302.4071543320215,-899.9692082055801,-285.6809896909647,911.2746170251057,1026.7478263886883,10959.533994922964,12363.823566996645,13476.021670612005
World,2020-01-20,7882631890,-891.3481404416974,-52455.90851747659,-52391.54602592721,-47992.58209345049,-47654.67808130327,-43094.133543233744,-42289.274882885744,-41133.32430446037,-40314.78313891643,-39217.30181414765,-39188.871732304644,-39033.36118497442,-38511.880160158515,-37278.45828432351,-37118.25264171147,-37077.70302550729,-36847.55910481874,-35377.67548268671,-34834.24605360866,-34772.79267117515,-34070.97827929186,-33274.84047065066,-32235.104503706487,-32088.685713018833,-31653.978423441,-31519.480164238,-30882.113902695273,-30794.453181966226,-30279.02209378724,-29364.140853946403,-29251.949778201782,-29250.926955739087,-28574.802725367004,-27923.62368290824,-27756.136577139026,-27549.213615459925,-27328.932502470154,-27287.741605440475,-27161.46963871692,-27045.311636211918,-27036.92349732769,-26893.058190118998,-26672.06383605573,-26367.95206982884,-25486.277629289634,-25150.89158634738,-25048.77238992497,-24914.58350716737,-24842.879161356366,-24215.490374636713,-24114.71103457205,-23943.580711073715,-23442.520780725918,-23038.892778068108,-22724.54476742156,-22081.087344816013,-22069.104016766287,-22027.568318042773,-21963.025211488188,-21391.43806477024,-21169.993471424757,-20536.78799755847,-20243.604288466857,-19693.133670390387,-19409.373064675518,-19318.676894790286,-19255.966416354233,-19215.8725342855,-19063.800916872013,-18331.9353925674,-17649.080278118246,-16904.34597600463,-16878.55187304805,-16859.45913615194,-16672.08253834447,-16590.653814465157,-16513.045692355998,-15993.661785207867,-15601.384146480617,-15372.323664906264,-15032.591713349831,-13601.661279842883,-12978.440039032383,-12748.127387689094,-12359.62503083792,-11790.674202303622,-11192.021233891723,-10577.422481434085,-10547.277847474415,-8483.969151673957,-7996.682231801041,-4908.106945098361,-4675.342196550222,-891.3481404416974,-354.1184824720626,621.8346718884351,1410.5361726217586,6632.1695153340115,7235.808658489427,17515.369960176293,21691.777036401232
World,2020-01-27,7882631890,-6654.71225162577,-74551.45162637228,-74354.36197127921,-67061.19763643653,-66670.85706530514,-58974.09304112284,-58583.021194771834,-57493.43963618575,-57242.146387635425,-55573.59455030633,-55252.60560406822,-54955.609611125525,-52797.30785517549,-52384.07923812345,-52266.14558309694,-50628.17637274111,-50492.520570083536,-49900.65971932852,-49882.41658227625,-48406.99824542719,-46382.77390894991,-45866.255545484746,-45472.48712035933,-45203.421583978576,-44767.66653544525,-44035.794527394544,-43591.27226990523,-43339.2132938513,-43096.69542124066,-42911.44779190117,-42130.94162793832,-41824.84689560554,-41806.366888733,-41206.56138485128,-40011.16611166225,-39884.15357026562,-39377.735300401786,-38336.07360891928,-37694.8313709005,-37549.27735633229,-37008.75885895714,-36312.12069696614,-36220.64959052917,-36140.065293731095,-36083.10978898375,-35897.14121865906,-34515.0436945678,-34514.611122032155,-34076.85088196469,-34009.40082523535,-33450.85677950406,-31932.321581086097,-31486.999309348954,-31325.350476824602,-31104.64436583338,-31074.34721108195,-30992.723356957,-30696.84438264046,-30187.416863500028,-29337.296475772662,-29267.46275833725,-29072.754875893137,-29043.41933244249,-28865.384300167334,-28838.33316570937,-27551.481773321048,-27177.68950157721,-25760.859651711573,-25369.032623178828,-25273.12327465209,-25068.467230858732,-24573.965189738297,-24537.840089717996,-24140.836243068698,-24099.611826769713,-23200.304928383135,-22939.396960367325,-20509.142515288964,-20459.43365012788,-19793.145267880845,-19732.648597203777,-19467.046892584254,-19060.061664316974,-18611.66456013398,-15240.861841474154,-15084.095790864356,-14875.555739938733,-14132.748960510375,-13934.934804113405,-12285.138251863138,-11427.236503875713,-10151.33280289107,-10143.870892859668,-6654.71225162577,-2237.9572344326575,-721.2580849104589,1118.9616057218568,1642.1827259000777,13511.014102887022,15328.682441311192,25631.01531712577
World,2020-02-03,7882631890,-178.59889343308657,-84730.55941132373,-83067.76877329133,-76427.62482651582,-74809.68967819419,-67530.01312184549,-64528.66237790025,-64469.78065036812,-61667.934670490125,-61374.24249843347,-60656.22814881736,-60231.46497627845,-59527.96574542494,-59228.137130519994,-58455.716403610466,-54512.57496449907,-54422.315120285304,-54107.54275650118,-53262.22331023111,-52915.11130875292,-52614.84681541941,-50556.265233321275,-50418.22018682559,-49032.63579881526,-48796.01606170617,-48340.55028384638,-47773.85163475073,-47427.99906197095,-46884.71878702301,-45820.8056444895,-45755.77345481638,-44050.57239313079,-43434.24966204889,-43307.83899860557,-42663.97870508277,-42015.02285994054,-40874.428550220575,-40594.57000643923,-40575.76764932461,-38549.18326039556,-36857.992436479835,-35683.356092053524,-35546.821899388044,-34699.04119698822,-34400.731566466035,-34398.539452591736,-34351.22484280737,-34275.02353707284,-33479.001825991814,-33394.11826833886,-33281.52515223621,-32970.673638605665,-31194.624046964163,-31188.819384563245,-30619.280626774,-30130.97786414199,-28595.105877228794,-28478.72293060068,-28468.81533305296,-27868.90953316608,-27813.315663540277,-27255.04915147779,-25134.370052206996,-24964.66912340685,-24237.469251666414,-24189.176107691415,-23763.01066890515,-22948.459001755407,-22760.882993576917,-22352.67339675124,-21822.132434900002,-21806.0701208712,-21283.452899483967,-20985.36355777908,-20822.441761214206,-20279.553007918305,-18335.85494002319,-16987.007361622116,-16300.42184209471,-15421.800262260442,-14932.636023080639,-13993.09205106545,-13266.864684996191,-13104.04537790342,-10181.047078957128,-9241.539932656136,-7112.47075192725,-6729.304544389987,-6143.980352817251,-5933.143917135771,-5573.054481702918,-2490.9279249555802,-2376.531459216686,-178.59889343308657,767.7880638431723,5453.662806879713,9803.565075271774,11498.87576165797,21321.7710050278,25098.64662462356,43669.75852878315
World,2020-02-10,7882631890,-6069.832899333432,-104036.35827570829,-101134.25328225944,-100052.7670585275,-91393.41877687475,-85206.97972612787,-84123.7860532502,-83863.37915910379,-81620.01953269591,-81250.2304577976,-80966.57336535635,-80872.02492619523,-80366.22733026808,-80269.02775557895,-75185.2533142465,-74251.30345042137,-74010.72003430148,-70940.82788081419,-69514.81335190854,-68086.02529238569,-67479.77572695234,-65901.12596359101,-65203.82411409904,-64973.7602147712,-64516.12330411471,-63349.31639461944,-63074.47262989063,-63044.319559337215,-62233.35992333114,-61962.31114627705,-61922.49685521831,-60853.89136859049,-58713.873923920626,-58420.57400819867,-57984.67931563261,-57025.62920307224,-56524.3682998807,-56079.14964071461,-56058.186015323285,-52101.798467040724,-49602.0895182512,-49089.60874697652,-48692.100535223144,-47278.2072330511,-45760.09811010055,-43975.20287381489,-43925.76557878596,-43861.63095091057,-43209.24190929156,-42659.928512657505,-42606.593665767075,-42058.7521422576,-41801.12612995178,-40699.64258273691,-40247.3799919283,-40076.5526044643,-39079.47753717053,-38850.654457203724,-36921.97519059151,-36581.55506423424,-36260.5308387233,-35696.554167226735,-34686.658098099724,-34545.05467956742,-33773.35481020654,-32987.493342290036,-32644.53382581432,-32563.512997853544,-31456.355213379327,-30763.46222173218,-29770.138041603743,-28820.897338829156,-28499.55608440843,-27637.090509743095,-27398.554511328446,-26352.701839102596,-26318.618219606564,-24747.53912068153,-23132.86687997922,-21894.718094025076,-19434.318291646217,-18402.181406667733,-18186.395262759703,-18024.268512379753,-17797.47702269829,-16510.374382211518,-15849.673224534623,-14840.623758899877,-12971.68279690768,-10391.278297581826,-9818.529100157783,-8522.606048102829,-7143.891644606997,-6069.832899333432,-5028.857282788043,6202.842404865613,8252.713832106258,10525.890948254437,15757.708125272622,21537.59215724621,49956.87098718327
World,2020-02-17,7882631890,-20739.356752866883,-140250.3948568477,-131724.64715315113,-127907.9873146673,-124210.66811234594,-117008.93359983354,-116966.06370892323,-114604.44319200108,-113432.08321877373,-111170.57916381022,-109175.73811258985,-108070.69659836548,-105636.3480751626,-104525.49758312007,-99192.64360547977,-98526.35527003021,-98257.398914044,-98247.96207242443,-94163.80143360539,-93670.15737415708,-90246.80910534112,-89677.04398828035,-89638.39687616617,-88775.75252159574,-88454.52369395831,-88205.89037843254,-87959.18668072665,-86321.55111026306,-86214.27556869053,-85542.15873543444,-85454.24351444011,-84621.8783606786,-84380.4146244593,-84344.28644668743,-83148.17410122877,-81121.46895704894,-80654.00523634312,-80402.90333384705,-78992.53989941668,-73448.58965169895,-72526.0211493978,-72133.1963187232,-70843.37622408543,-70657.49217792207,-68800.03961150911,-65429.921544125,-63299.27036085392,-63296.87040014031,-62384.447410639674,-61603.07478256899,-60464.743945278846,-60008.505120704984,-59866.67236360826,-59334.7438503052,-59174.63744636057,-59098.16476544068,-58164.57888205747,-57536.655571722746,-56141.73772744287,-55404.34394127337,-53020.205209478736,-52577.87032047209,-52462.63876900683,-52343.37414579979,-51185.54214764198,-49955.44308457066,-48433.69923296935,-48408.3268322538,-47539.559086377514,-46640.227646404426,-45666.95964112131,-45012.50329058526,-44857.51440629358,-44538.56317026298,-44299.682543217874,-43618.071687184914,-43546.91748314412,-43269.10507874309,-40082.80512330689,-39887.0026513419,-37912.37704739664,-34731.63014719662,-33321.71424656821,-32347.767117496704,-31256.193335730924,-28957.42121689504,-28033.467857538464,-27388.14034813847,-26242.44938659432,-22440.21000544094,-21731.37719422835,-21229.492697857084,-20817.543778052768,-20739.356752866883,-17960.682097428795,-4943.2092300908325,-4358.673390913803,1934.8866581460436,4352.489151825064,12579.42124364886,48236.00837806872
World,2020-02-24,7882631890,-40138.84475411774,-192232.76223881595,-167863.19901391855,-159684.9335406118,-150931.5803422453,-149884.32872200216,-145667.47355631052,-145396.19703916108,-145003.28178168816,-142661.3883496734,-140687.67613861314,-139569.04733844736,-138012.2522415564,-137277.1562400561,-136724.37873155004,-135996.85022499683,-133417.19699228593,-128905.60665071166,-127947.1434024047,-124704.82571307538,-124432.99636359749,-118799.00198227182,-118308.14906010874,-117097.9029282198,-116528.58581697338,-115048.83117223618,-114631.69493205758,-114590.045724159,-114196.80134846948,-113597.01287265534,-112512.017167951,-112109.35025143641,-109058.61639598553,-108101.86881320045,-107572.90197601524,-106985.0929804966,-106834.38970943901,-106618.17675517587,-105673.43045597711,-103513.11490687438,-102175.6564356682,-101339.27125021571,-98925.53848024992,-94235.63405456403,-94216.24637643725,-93304.81183460848,-90183.3048112698,-87473.5372991176,-87151.08815835271,-86541.55380730322,-86519.0266458725,-85519.99916312507,-84122.21696314237,-81684.8524827352,-81671.6635894998,-81041.33720830522,-80925.5817274025,-80874.48759932403,-79826.09557406078,-79392.54096027135,-78811.88327560498,-74663.29790702117,-74072.26106143322,-73121.75966163499,-73118.16328304145,-72657.49475007183,-72634.08448214314,-71991.24043049986,-71802.07577781015,-71780.4182099006,-71159.78582493987,-69657.57592114611,-66274.05825376995,-66142.48996263157,-65922.38420797547,-65313.708293930045,-64825.50234557456,-62841.94013738545,-62632.07382523487,-61552.482680109235,-55377.13423221602,-53604.98857409857,-52719.34919458994,-52226.833262154134,-47434.62380352629,-46288.63109931316,-45281.051756931956,-43680.953511094114,-43104.135483023056,-40294.695742996875,-40138.84475411774,-37492.508821965595,-37179.78443750297,-35342.199247547345,-34269.13680653506,-33913.8619441592,-29272.719649880113,-15120.20692491767,-14736.289613156592,-4772.394073836668,35537.06256341455
World,2020-03-02,7882631890,-71905.15859055254,-249319.3548705764,-211535.2734341309,-202271.0202097996,-195411.60119855343,-187105.0758822605,-186461.83384294264,-184045.62396273384,-182149.12522583528,-179630.7413232553,-179006.92972008904,-177601.05319442318,-175781.22662935013,-175719.86284652606,-174812.07900685805,-174286.33087663722,-173586.44633440764,-173424.79460060477,-169419.8831074556,-167526.5483873291,-164743.4042804639,-161959.71478346287,-159733.92790567363,-159543.7753642719,-159298.18414223363,-155651.2640211598,-154969.77785116585,-154259.03201736428,-153988.3046581786,-148320.51811066378,-145053.80410889394,-143909.13385025764,-141042.63844898654,-138783.61587554656,-137385.6481854477,-136899.09602900746,-135799.39127373506,-134090.67873183364,-132788.5913489161,-132367.43314470942,-131124.3327926203,-130020.61794945333,-128689.18839051081,-127013.01489351613,-126329.69829652665,-125197.4816359174,-124915.57324452478,-124255.47222675795,-123670.20461220281,-122797.76358039987,-122790.15604848368,-120430.98229211393,-119559.65737582673,-119284.78247272379,-119020.26189688616,-116368.5366028693,-115552.50139159293,-114578.52814225903,-114113.3688363038,-113381.12039685126,-112880.94240551701,-112251.80392294307,-111009.76612204721,-110132.22096974213,-108592.76383000576,-107325.75837367897,-105149.14883443355,-104351.54545005044,-103773.0749910878,-101985.26912114857,-101708.83243730389,-98341.81666732981,-97960.95630037725,-97588.6474543832,-95664.01967664633,-90606.29980767793,-88794.52490154859,-86507.62211359538,-85515.83483193109,-85428.915512171,-85292.76664294406,-84472.99201297262,-83436.28666705315,-82728.7368065074,-81065.25864874333,-76229.95178226294,-75625.85835919573,-75070.68517572487,-73468.29440462911,-73079.94195208643,-71905.15859055254,-70161.72704347486,-70004.56551145551,-69979.19368945647,-65672.9918519044,-59590.003668847974,-56909.499637951616,-43744.60095091029,-43707.8286045092,-42728.4743300419,6839.547739534039
