world,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
World,2020-01-01,7882631890,-139.90390088377725,40.71710400259438,-29.85185021567875,-139.90390088377725,-951.1106246509263,-1381.6854224682793,-1509.4259440983974,-231047.03045216535,-1008.938997607709,0
World,2020-01-06,7882631890,-139.0690154770726,5.402940395912976,-32.27208270626369,-139.0690154770726,-977.2154047980946,-1380.9927943708453,-1518.1394296070089,-231047.03045216535,-1008.938997607709,0
World,2020-01-13,7882631890,-369.39810426156674,-174.6829208346497,-278.1239115837136,-369.39810426156674,-1183.9409097681585,-1617.3429960458145,-1747.2340951451013,-287828.749674517,-1256.8941033821704,0
World,2020-01-20,7882631890,-588.2542598809674,267.565516409636,90.0747241284853,-504.0141032843762,-1465.6088931532076,-2485.1541307642515,-2567.230504375774,-355593.5167956934,-1552.8101170117616,0
World,2020-01-27,7882631890,-1046.5767618027032,-14.305755242655083,-67.17297964543334,-908.7612904450901,-1915.0380061082926,-2752.703654048349,-3139.6735923445895,-478569.72933742445,-2089.8241455782727,13
World,2020-02-03,7882631890,813.7190717391624,1639.478193742349,1609.628908783341,813.7190717391624,-583.8608163740126,-1481.4137060210817,-1638.7662881977915,-81640.72548151063,-356.50971825987176,49.9
World,2020-02-10,7882631890,-1164.4741138848788,-120.03908057136799,-172.17294765313272,-1017.3470909239302,-2205.306984060466,-3151.374902864681,-3731.8156471802627,-450418.5587130907,-1966.893269489479,83.857
World,2020-02-17,7882631890,-2267.455658647618,-1250.0099764324646,-1377.5719776381686,-2261.8127965756153,-3559.4413070685155,-5028.1317093696225,-5577.372472959091,-703789.89749438,-3073.3183296697816,122.74733333333333
World,2020-02-24,7882631890,-2657.8402774794567,-1935.2405910038433,-2170.6662672912544,-2657.8402774794567,-4323.682096411395,-6660.657025389488,-6767.593286088521,-659917.2081280228,-2881.7345333101434,109.779
World,2020-03-02,7882631890,-4656.190502165452,-2585.8231438229072,-3485.8906166467273,-4122.386166502756,-6213.787917481423,-8090.071231167922,-8535.784406982733,-711644.564031786,-3107.6181835449174,66.90433333333333
