world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2020-01-01,7951213330,-3670.292730627676,6230.529717475836,5256.629743372473,-2794.4833873552043,-7078.761117520429,-8943.874421754661,-9959.612510107669,-1666767.2240479353,-7062.572983253963,0
World,2020-01-06,7951213330,-7321.785948980567,12380.902868689709,10142.335617729685,-5571.340352951234,-14144.852254469592,-19062.807653032036,-19326.940922120055,-3333534.4480958707,-14125.145966507926,0
World,2020-01-13,7951213330,-12536.266091568114,16568.926152057185,13525.368872749204,-10777.205911218736,-22442.368075006452,-29743.27897048684,-30957.47691849408,-5409923.506883216,-22923.404690183117,1.001
World,2020-01-20,7951213330,-19403.073851308942,21334.545022055463,14031.97543206469,-14430.846075506266,-33441.289860031415,-44360.39584791707,-45122.76906755845,-7975165.820186647,-33793.07550926545,4.004
World,2020-01-27,7951213330,-30420.742430946237,22632.176513029917,13162.052554723916,-20434.02189036078,-47208.01610247497,-63861.98139336022,-65514.87480684572,-11574456.521598734,-49044.307294909886,82.00500000000001
World,2020-02-03,7951213330,-29570.441777919244,33532.66079238371,25266.68422122812,-16857.42698231833,-50811.39987810491,-71572.14161801264,-74950.45660762035,-12368687.30131665,-52409.69195473157,427.007
World,2020-02-10,7951213330,-40067.238610588494,30017.922863104457,24687.02299523431,-25933.980815388502,-65762.80455616774,-90696.94575146433,-94021.61271331916,-15820911.70766588,-67037.7614731605,1015.0070000000001
World,2020-02-17,7951213330,-58840.934587044154,24995.394658741494,13454.919147258845,-44622.69860324074,-89040.83899384522,-120395.79280280824,-134328.0205632336,-21101382.980099633,-89412.63974618488,1871.009
World,2020-02-24,7951213330,-83922.38238377296,21945.8484288374,-537.664071257236,-67640.00014496826,-118567.87662950461,-153197.03676006506,-171369.97087812264,-26067949.646897405,-110457.41375803985,2622.018
World,2020-03-02,7951213330,-117069.63856446715,9642.159449167588,-38867.096787057955,-94033.78398220806,-155377.47093150226,-197015.87217813256,-214608.7595738669,-31338857.344091844,-132791.76840716883,3045.021
World,2020-03-09,7951213330,-130908.05306585705,21812.992785312254,-29500.88335842812,-107605.1616728949,-170526.1625341518,-215294.61614779336,-233552.63600495565,-31384519.234355036,-132985.25099302983,3893.036
World,2020-03-16,7951213330,-129079.48351641356,43240.63212920359,8487.027958093906,-105551.28076165856,-166928.97960007863,-230809.03054408534,-239037.01783088926,-28729446.205747653,-121734.94154977819,6881.063
World,2020-03-23,7951213330,-103850.46987469208,88681.99977841704,59516.50092616627,-68183.60610505594,-148057.61053233265,-215131.24060234908,-229400.76687733582,-18406642.297745306,-77994.24702434451,16475.109
