iso3c,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
ABW,2020-01-01,107195,-0.00947485200000032,0.057107519999999724,0.0438485109999998,0.010157102000000282,-0.018566561000000037,-0.04282683799999982,-0.05197772900000039,-0.00947485200000032,NA,NA
AFG,2020-01-01,39835428,-0.017929822000000328,0.025018850000000394,0.017401497999999897,0.0072271040000000866,-0.017929822000000328,-0.021468526000000186,-0.024895312999999936,-0.017929822000000328,NA,0
AGO,2020-01-01,33933611,0.01688506799999975,0.08996181600000003,0.06003166599999984,0.02780311699999985,-0.0022596579999998897,-0.01606293799999971,-0.026598462000000142,0.01688506799999975,NA,0
AIA,2020-01-01,15125,-0.012980093000000322,0.07562665300000013,0.0532127780000001,0.008507534000000136,-0.021784433999999693,-0.04535748199999994,-0.06390609299999957,-0.012980093000000322,NA,NA
ALB,2020-01-01,2872934,0,0.014655756000000023,0.010473709000000121,0.006924765999999741,-0.008394571999999986,-0.022119794999999984,-0.034572161999999615,0.006924765999999741,0,0
AND,2020-01-01,77354,-0.014972643000000277,0.02101563100000019,0.01704681700000022,-9.291809999997711e-4,-0.019094401999999722,-0.03248039399999996,-0.038014110999999934,-0.014972643000000277,NA,0
ARE,2020-01-01,9991083,-0.0053122300000003255,0.01754416899999995,0.015697149000000216,0.0024536929999998884,-0.007818373999999805,-0.014769348000000609,-0.018156155999999875,-0.0053122300000003255,NA,0
ARG,2020-01-01,45605823,-0.013988649000000259,0.004336856000000332,0.003308764999999877,-0.002446354000000458,-0.013988649000000259,-0.015210036000000213,-0.02025155499999987,-0.013988649000000259,NA,0
ARM,2020-01-01,2968128,-0.028458501000000275,0.029741945000000276,0.01389864400000002,-0.005040451000000343,-0.028458501000000275,-0.02877315700000018,-0.033595099999999996,-0.028458501000000275,NA,0
ATG,2020-01-01,98728,-0.01674798800000032,0.06707155400000052,0.05452443199999993,0.0031053360000000514,-0.01674798800000032,-0.0348042529999999,-0.038994027000000014,-0.01674798800000032,NA,0
AUS,2020-01-01,25788217,0,0.0035342119999998752,0,0,-0.03107510800000021,-0.03107510800000021,-0.03107510800000021,-0.03107510800000021,0,0
AUT,2020-01-01,9043072,0,0.005920985999999848,0.00406794,0,-0.010067241000000325,-0.016680812000000336,-0.01780539399999988,-0.010067241000000325,0,0
AZE,2020-01-01,10223344,-2.111910000002751e-4,0.012432591999999808,0.009727652000000095,0.002174140000000027,-0.007332138000000173,-0.015463424000000264,-0.02305546699999999,-2.111910000002751e-4,NA,0
BDI,2020-01-01,12255429,0.024963941999999708,0.08943341700000007,0.06578375099999977,0.024963941999999708,-0.0021979680000003476,-0.01691800000000033,-0.036778420000000055,0.024963941999999708,NA,0
BEL,2020-01-01,11632334,0,0,0,0,-0.02163499700000022,-0.02163499700000022,-0.021666899999999944,-0.02163499700000022,0,0
BEN,2020-01-01,12451031,-0.03120936700000029,0.055230926999999694,0.037230167000000106,0.007538909999999977,-0.03120936700000029,-0.03195541900000018,-0.049805624999999715,-0.03120936700000029,NA,0
BES,2020-01-01,26445,-0.016108362000000372,0.08667730600000005,0.06049458700000013,0.010966862999999804,-0.023196039000000522,-0.052555867999999714,-0.07280043799999986,-0.016108362000000372,NA,NA
BFA,2020-01-01,21497097,-0.03175296700000036,0.048811460999999674,0.0340366719999998,0.010421440000000034,-0.03175296700000036,-0.03175296700000036,-0.03175296700000036,-0.03175296700000036,NA,0
BGD,2020-01-01,166303494,0.036241351999999595,0.05102712399999956,0.0427390049999998,0.036241351999999595,-0.005132393000000145,-0.022081931000000055,-0.03383111100000041,0.036241351999999595,NA,0
BGR,2020-01-01,6896655,0,0.02387521499999986,0.016227472999999996,0,-0.011172335000000323,-0.01600401000000058,-0.018360941000000037,-0.011172335000000323,0,0
BHR,2020-01-01,1748295,-0.010634658000000298,0.04064157199999986,0.02738514599999976,-0.00162944100000016,-0.015441734999999871,-0.02733677799999952,-0.037223353999999764,-0.010634658000000298,NA,0
BHS,2020-01-01,396914,-0.020210977000000293,0.03671915699999977,0.0195753010000001,-0.0064585600000001304,-0.02343680399999962,-0.0368533240000001,-0.04441227499999991,-0.020210977000000293,NA,0
BIH,2020-01-01,3263459,0,0,0,0,-0.021573898000000275,-0.03046450699999987,-0.04094941099999992,-0.021573898000000275,0,0
BLR,2020-01-01,9442867,0,0.01360693300000022,0.010698788999999466,0.003271177000000184,-0.00668749000000016,-0.012462938000000014,-0.015094400000000239,0.0032092309999996954,0,0
BLZ,2020-01-01,404915,-0.008549937000000306,0.01862456599999966,0.014995397999999735,0.0019106140000004137,-0.015007438999999857,-0.027177565000000042,-0.0313651330000004,-0.008549937000000306,NA,0
BMU,2020-01-01,62092,-0.009803322000000305,0.04608048800000013,0.037519905999999915,0.0037225289999999397,-0.025573778000000342,-0.04543613199999985,-0.053579041999999945,-0.009803322000000305,NA,NA
